n 	 an 	 bn 	 cn 	 f(an) 	 f(bn) 	 f(cn)
1	1	2	1.645888284368954	-0.16585290151921034	0.09092974268256818	0.01119026344642847
2	1	1.645888284368954	1.605064002559187	-0.16585290151921034	0.01119026344642847	0.001207292704951235
3	1	1.605064002559187	1.6006913908804399	-0.16585290151921034	0.001207292704951235	0.00012816530520291802
4	1	1.6006913908804399	1.6002275560773631	-0.16585290151921034	0.00012816530520291802	1.3582282637036869e-05
5	1	1.6002275560773631	1.6001784053380077	-0.16585290151921034	1.3582282637036869e-05	1.4391128459745328e-06
6	1	1.6001784053380077	1.6001731976090465	-0.16585290151921034	1.4391128459745328e-06	1.524784388473588e-07
7	1	1.6001731976090465	1.6001726458346293	-0.16585290151921034	1.524784388473588e-07	1.6155526749717097e-08
8	1	1.6001726458346293	1.6001725873725572	-0.16585290151921034	1.6155526749717097e-08	1.7117239153874308e-09
9	1	1.6001725873725572	1.6001725811783347	-0.16585290151921034	1.7117239153874308e-09	1.813619809887257e-10
10	1	1.6001725811783347	1.6001725805220393	-0.16585290151921034	1.813619809887257e-10	1.921579562136344e-11
